population_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
40,1,0.236126124569255,0.228405045820034,0.14354640938007,0.0501917672029593,-0.000905054158131691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.337230108515031,0.302044367901283,0.223152138211471,0.0987337880463731,-0.060026996669825,-0.225938948827152,-0.360577889863439,-0.43183849469019,-1,-1,-1,-1,-1,-1,-1
179,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.327493709128204,0.291616176102273,0.221854704972481,0.13156169407124,0.0388433449260651,-0.0404202912141857,-0.0953637821828865,-0.121652289967491,-1,-1,-1,-1,-1,-1,-1
44,1,0.00620146137092067,0.00627174685470122,0.00636721210937254,0.00648621041986361,0.00657227462695271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,1,0.177832279910797,0.186400393739427,0.186559954651766,0.184182597394253,0.182752254860056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,1,0.028739338120136,0.0344675358173654,0.0402422925013721,0.0446971360412913,0.0466723244984923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,1,-0.0284005334941138,-0.0504128881659144,-0.066116696195735,-0.0766046482787258,-0.0816857583725853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,1,-0.00442056599461538,-0.00442056599463192,-0.00442056599467766,-0.00442056599474727,-0.00442056599481744,-0.0044205659948745,-0.00442056599492147,-0.00442056599496077,-0.0044205659949843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,1,0.0163005595626711,0.0130904371810896,0.0138108429087094,0.0164636646077216,0.0139320338470963,0.00500401596911004,-0.00444546733038997,-0.0116133862918462,-0.0193164274095636,-0.0275485995042937,-0.0319026932594033,-0.032814457249124,-0.0370610522890713,-0.0459427398435537,-0.0505282903107833,-0.0441182860974507,-0.0320414470601582,-0.0230934049448477,-0.0182959691622804,-0.015154738046415,-0.01616138469186,-0.0237282117397957,-0.0316677301331723,-1,-1,-1
131,1,-0.0310766322949594,-0.032761671103126,-0.0338371208157451,-0.0342311743789299,-0.0339126111388504,-0.0330384535798602,-0.0323516618542919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789,1,0.0153265315431117,0.0149308309157474,0.0156924559405995,0.0149033760369672,0.00954438035639349,-0.000399942057839553,-0.011812707074859,-0.0213111213013084,-0.0272182640923777,-0.0295746261770242,-0.0301870019502974,-0.0324605813165482,-0.0386685523949453,-0.0462678149274955,-0.0488372172471596,-0.042552308255897,-0.0308432957250471,-0.0209226731708378,-0.0162846053173364,-0.0144840604507532,-0.0120093193338109,-0.0089040740758195,-0.00760927635310438,-0.00908043414871607,-0.0117309496138844,-0.0134874031275309
788,1,-0.0190406946300699,-0.0179815742894429,-0.0163803395244595,-0.0140547272534346,-0.0112702328271466,-0.00850140476823702,-0.00583613470379252,-0.00282151631827077,0.00101507673327994,0.00560263978845299,0.0103552458246634,0.0146517723161574,0.0181585741291821,0.020750605037116,0.022349092024696,0.0229889289299714,0.0229776204426178,0.0228046648915794,-1,-1,-1,-1,-1,-1,-1,-1
97,1,0.0522259609721578,0.052487927726439,0.052611686514493,0.0524870735118999,0.0520963795385398,0.0513487199085221,0.0499001994559167,0.0473456303575341,0.0436949966362725,0.0395354150518843,0.0356335563997918,0.0324656158936758,0.0301366466872759,0.0285207597457058,0.0273159049742349,0.0261359154430325,0.0248006918992951,0.0235199444737866,0.0226475892268603,0.0222873546892384,-1,-1,-1,-1,-1,-1
145,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,1,0.0239143591749018,0.0239143591749018,0.0239143591749023,0.0239143591749018,0.0239143591749018,-0.00931522840827093,-0.00931522840827093,-0.00931522840827137,-0.00931522840827093,-0.00931522840827093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,1,0.00979288906198406,0.00721522919222917,0.00592120846878252,0.00673771277529145,0.00893714068571949,0.00995615567510466,0.00749955895107668,0.00195229126876484,-0.00400130846924629,-0.00811420209438118,-0.0101360365659318,-0.0106447711187005,-0.0096014540754803,-0.00702959248428048,-0.00443633631200591,-0.00412479901983875,-0.00671099172910772,-0.0101048606273677,-0.0114959664399263,-0.0100128002028352,-0.00708124322414161,-0.00456325532617541,-0.00312685539781654,-0.00234195230114675,-0.00173029299207883,-0.00131829042657738
